keluhan,kategori,prioritas
Koneksi internet sering timeout saat ujian online,Jaringan,Tinggi
Internet di gedung B sangat lambat,Jaringan,Sedang
Status pengajuan surat saya belum berubah dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
Mahasiswa butuh surat aktif kuliah untuk beasiswa,Administrasi,Rendah
Parkiran motor kurang diawasi dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Saya tidak tahu alur pengajuan surat izin penelitian,Administrasi,Rendah
"Mohon bantuan, kantin kampus terlihat kurang bersih",Kebersihan,Sedang
Tolong dicek karena saya bingung jadwal pengisian krs semester ini,Akademik,Tinggi
"Mohon bantuan, papan tulis sulit digunakan karena spidol habis",Fasilitas,Sedang
Ruang praktikum berbau tidak sedap,Kebersihan,Rendah
"Mohon bantuan, saya bingung jadwal pengisian krs semester ini",Akademik,Rendah
Ruang kelas berdebu saat pagi,Kebersihan,Rendah
"Mohon bantuan, wifi kampus sering mati saat jam kuliah",Jaringan,Tinggi
WiFi kampus sering mati saat jam kuliah,Jaringan,Tinggi
Sistem pembayaran kampus sering gagal dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Proyektor kelas tidak bisa menyala,Fasilitas,Tinggi
Speaker ruang seminar rusak,Fasilitas,Sedang
Area belakang gedung terlalu gelap,Keamanan,Rendah
Mahasiswa bingung jadwal pengisian KRS semester ini,Akademik,Rendah
"Mohon bantuan, cctv di lorong tidak menyala",Keamanan,Tinggi
Tolong dicek karena kelas pengganti belum muncul di sistem akademik,Akademik,Tinggi
Pembayaran beasiswa belum masuk ke akun saya dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Proses legalisir dokumen akademik terlalu lama,Administrasi,Rendah
"Mohon bantuan, kartu hasil studi tidak bisa diunduh",Akademik,Tinggi
Helm mahasiswa sering hilang di parkiran,Keamanan,Tinggi
Keluhan saya adalah gerbang samping kampus tidak dijaga,Keamanan,Tinggi
Nilai mata kuliah belum keluar di portal dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
Proses legalisir dokumen akademik terlalu lama,Administrasi,Rendah
Lampu kelas mati sejak minggu lalu,Fasilitas,Tinggi
"Mohon bantuan, saya ingin bertanya prosedur revisi krs",Akademik,Rendah
Lantai koridor licin setelah hujan dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
"Mohon bantuan, dokumen administrasi belum diverifikasi",Administrasi,Sedang
Kursi di ruang kuliah banyak yang rusak dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
"Mohon bantuan, kamar mandi kampus perlu dibersihkan",Kebersihan,Rendah
Helm mahasiswa sering hilang di parkiran,Keamanan,Tinggi
WiFi kampus tidak stabil saat mengunduh materi,Jaringan,Sedang
"Mohon bantuan, jadwal ujian bentrok dengan mata kuliah lain",Akademik,Tinggi
Nomor induk mahasiswa mahasiswa belum terdaftar di sistem,Administrasi,Sedang
Toilet lantai dua kurang bersih,Kebersihan,Sedang
Ruang praktikum berbau tidak sedap dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
"Mohon bantuan, saya ingin mengajukan keringanan ukt",Keuangan,Rendah
"Mohon bantuan, saya tidak menemukan jadwal konsultasi akademik",Akademik,Rendah
"Mohon bantuan, saya butuh informasi batas pembayaran ukt",Keuangan,Rendah
"Saya ingin mengajukan keringanan UKT, mohon segera ditindaklanjuti",Keuangan,Tinggi
Virtual account pembayaran tidak muncul dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
"Mohon bantuan, helm mahasiswa sering hilang di parkiran",Keamanan,Tinggi
Apakah pihak kampus bisa menangani masalah ini: nilai mata kuliah belum keluar di portal,Akademik,Tinggi
Proyektor kelas tidak bisa menyala dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
Area parkir banyak sampah plastik dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
"Parkiran motor kurang diawasi, mohon segera ditindaklanjuti",Keamanan,Tinggi
Data pribadi mahasiswa di portal masih salah,Administrasi,Rendah
Materi kuliah belum tersedia di LMS dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
"Mohon bantuan, sistem pembayaran kampus sering gagal",Keuangan,Tinggi
Lampu parkiran mati saat malam,Keamanan,Tinggi
Tolong dicek karena saya butuh surat aktif kuliah untuk beasiswa,Administrasi,Tinggi
Bagian administrasi sulit dihubungi,Administrasi,Sedang
Saya kehilangan barang di ruang kuliah dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Keluhan saya adalah informasi dosen pembimbing belum diperbarui,Akademik,Tinggi
Masalah yang saya alami yaitu komputer laboratorium tidak bisa menyala,Fasilitas,Tinggi
Lantai koridor licin setelah hujan,Kebersihan,Rendah
Proses legalisir dokumen akademik terlalu lama dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
"Mohon bantuan, banyak sampah di area taman kampus",Kebersihan,Rendah
Saya melihat orang asing masuk ruang kelas dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Koneksi internet sering timeout saat ujian online dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
Saya tidak bisa mencetak bukti pembayaran UKT dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Nomor induk mahasiswa saya belum terdaftar di sistem dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
Bagian administrasi sulit dihubungi,Administrasi,Sedang
Komputer laboratorium tidak bisa menyala,Fasilitas,Tinggi
Materi kuliah belum tersedia di LMS,Akademik,Sedang
Toilet tidak memiliki sabun cuci tangan,Kebersihan,Rendah
Pembayaran beasiswa belum masuk ke akun mahasiswa,Keuangan,Sedang
Jaringan kampus mati sejak pagi dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
Tolong dicek karena saya ingin memperbaiki nama di data akademik,Administrasi,Tinggi
"Mohon bantuan, ada kabel listrik terbuka di koridor",Keamanan,Tinggi
Tolong dicek karena saya kehilangan barang di ruang kuliah,Keamanan,Tinggi
"Mohon bantuan, nilai mata kuliah belum keluar di portal",Akademik,Sedang
Dokumen administrasi belum diverifikasi dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
WiFi kampus sering mati saat jam kuliah,Jaringan,Tinggi
"Mohon bantuan, saya melihat orang asing masuk ruang kelas",Keamanan,Rendah
Tempat sampah di koridor sudah penuh,Kebersihan,Sedang
Dokumen administrasi belum diverifikasi,Administrasi,Sedang
"Mohon bantuan, area belakang gedung terlalu gelap",Keamanan,Rendah
Tagihan UKT masih muncul padahal sudah dibayar,Keuangan,Rendah
"Mohon bantuan, kelas pengganti belum muncul di sistem akademik",Akademik,Sedang
Portal kampus sulit diakses karena koneksi lemot,Jaringan,Sedang
Apakah pihak kampus bisa menangani masalah ini: cctv di lorong tidak menyala,Keamanan,Tinggi
Sistem pembayaran kampus sering gagal,Keuangan,Tinggi
Keluhan saya adalah dokumen administrasi belum diverifikasi,Administrasi,Tinggi
"Mohon bantuan, bagian administrasi sulit dihubungi",Administrasi,Sedang
Stop kontak di kelas tidak berfungsi,Fasilitas,Rendah
Area belakang gedung terlalu gelap dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Kartu hasil studi tidak bisa diunduh dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
Lampu parkiran mati saat malam,Keamanan,Tinggi
"Mohon bantuan, saya tidak bisa login ke wifi kampus",Jaringan,Tinggi
Tolong dicek karena kantin kampus terlihat kurang bersih,Kebersihan,Tinggi
CCTV di lorong tidak menyala dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
"Mohon bantuan, kursi di ruang kuliah banyak yang rusak",Fasilitas,Sedang
Jaringan di laboratorium sering terputus dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
Saya ingin mengajukan keringanan UKT dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Tagihan UKT masih muncul padahal sudah dibayar dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Proyektor kelas tidak bisa menyala,Fasilitas,Tinggi
Apakah pihak kampus bisa menangani masalah ini: stop kontak di kelas tidak berfungsi,Fasilitas,Tinggi
Lampu kelas mati sejak minggu lalu dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
Jaringan kampus mati sejak pagi,Jaringan,Tinggi
Virtual account pembayaran tidak muncul,Keuangan,Rendah
"Mohon bantuan, ac ruang 204 tidak dingin",Fasilitas,Rendah
Ruang kelas berdebu saat pagi dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
Kamar mandi kampus perlu dibersihkan dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
Sinyal WiFi tidak menjangkau ruang kelas lantai tiga,Jaringan,Rendah
Apakah pihak kampus bisa menangani masalah ini: saya tidak bisa login ke wifi kampus,Jaringan,Tinggi
Kelas pengganti belum muncul di sistem akademik,Akademik,Sedang
"Mohon bantuan, pintu ruang kelas sulit dikunci",Fasilitas,Sedang
Akun WiFi saya tidak bisa digunakan,Jaringan,Tinggi
Tolong dicek karena lampu parkiran mati saat malam,Keamanan,Tinggi
"Mohon bantuan, ruang praktikum berbau tidak sedap",Kebersihan,Rendah
"Mohon bantuan, jaringan kampus mati sejak pagi",Jaringan,Tinggi
Nomor induk mahasiswa saya belum terdaftar di sistem,Administrasi,Sedang
Toilet tidak memiliki sabun cuci tangan dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
Stop kontak di kelas tidak berfungsi,Fasilitas,Rendah
Ruang praktikum berbau tidak sedap,Kebersihan,Rendah
Sistem pembayaran kampus sering gagal,Keuangan,Tinggi
"Mohon bantuan, stop kontak di kelas tidak berfungsi",Fasilitas,Rendah
Nilai mata kuliah belum keluar di portal,Akademik,Sedang
Papan tulis sulit digunakan karena spidol habis dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
"Tempat sampah di koridor sudah penuh, mohon segera ditindaklanjuti",Kebersihan,Tinggi
Saya tidak tahu alur pengajuan surat izin penelitian dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
Apakah pihak kampus bisa menangani masalah ini: kursi di ruang kuliah banyak yang rusak,Fasilitas,Tinggi
Saya tidak bisa melihat jadwal kuliah di akun saya,Akademik,Tinggi
Lampu kelas mati sejak minggu lalu,Fasilitas,Tinggi
Data pembayaran saya tidak sinkron dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Informasi dosen pembimbing belum diperbarui,Akademik,Sedang
Apakah pihak kampus bisa menangani masalah ini: ruang kelas berdebu saat pagi,Kebersihan,Tinggi
"Mohon bantuan, saya ingin konfirmasi pembayaran kuliah",Keuangan,Rendah
Toilet lantai dua kurang bersih dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
Tangga darurat kurang aman digunakan,Keamanan,Sedang
Papan tulis sulit digunakan karena spidol habis,Fasilitas,Sedang
Mahasiswa tidak menemukan jadwal konsultasi akademik,Akademik,Rendah
"Mohon bantuan, data pembayaran saya tidak sinkron",Keuangan,Rendah
Masalah yang saya alami yaitu saya butuh informasi batas pembayaran ukt,Keuangan,Tinggi
Keluhan saya adalah pembayaran beasiswa belum masuk ke akun saya,Keuangan,Tinggi
Saya ingin mengurus surat keterangan mahasiswa dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
Toilet tidak memiliki sabun cuci tangan,Kebersihan,Rendah
Mahasiswa ingin bertanya prosedur revisi KRS,Akademik,Rendah
Ruang kelas terlalu panas saat siang,Fasilitas,Sedang
Virtual account pembayaran tidak muncul,Keuangan,Rendah
Gerbang samping kampus tidak dijaga dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Saya ingin bertanya prosedur revisi KRS dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
Saya tidak bisa melihat jadwal kuliah di akun saya dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
"Saya melihat orang asing masuk ruang kelas, mohon segera ditindaklanjuti",Keamanan,Tinggi
Saya butuh informasi batas pembayaran UKT dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Apakah pihak kampus bisa menangani masalah ini: wifi kampus tidak stabil saat mengunduh materi,Jaringan,Tinggi
"Mohon bantuan, tagihan ukt masih muncul padahal sudah dibayar",Keuangan,Rendah
"Mohon bantuan, pembayaran beasiswa belum masuk ke akun saya",Keuangan,Sedang
"Mohon bantuan, akun wifi saya tidak bisa digunakan",Jaringan,Tinggi
"Mohon bantuan, tangga darurat kurang aman digunakan",Keamanan,Sedang
Saya ingin mengurus surat keterangan mahasiswa,Administrasi,Rendah
Saya butuh informasi batas pembayaran UKT,Keuangan,Rendah
Jaringan kampus mati sejak pagi,Jaringan,Tinggi
"Mohon bantuan, saya ingin memperbaiki nama di data akademik",Administrasi,Rendah
"Mohon bantuan, ruang kelas berdebu saat pagi",Kebersihan,Rendah
WiFi kampus tidak stabil saat mengunduh materi,Jaringan,Sedang
"Mohon bantuan, wifi kampus tidak stabil saat mengunduh materi",Jaringan,Sedang
"Virtual account pembayaran tidak muncul, mohon segera ditindaklanjuti",Keuangan,Tinggi
Keluhan saya adalah saya tidak tahu alur pengajuan surat izin penelitian,Administrasi,Tinggi
Toilet lantai dua kurang bersih,Kebersihan,Sedang
Tolong dicek karena saya ingin bertanya prosedur revisi krs,Akademik,Tinggi
Tolong dicek karena nomor induk mahasiswa saya belum terdaftar di sistem,Administrasi,Tinggi
Saya ingin memperbaiki nama di data akademik,Administrasi,Rendah
Mahasiswa tidak bisa login ke WiFi kampus,Jaringan,Tinggi
Lampu parkiran mati saat malam dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Saya tidak bisa mencetak bukti pembayaran UKT,Keuangan,Tinggi
Nilai mata kuliah belum keluar di portal,Akademik,Sedang
Banyak sampah di area taman kampus dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
Komputer laboratorium tidak bisa menyala,Fasilitas,Tinggi
Mahasiswa tidak bisa melihat jadwal kuliah di akun mahasiswa,Akademik,Tinggi
Tolong dicek karena tagihan ukt masih muncul padahal sudah dibayar,Keuangan,Tinggi
"Mohon bantuan, informasi dosen pembimbing belum diperbarui",Akademik,Sedang
CCTV di lorong tidak menyala,Keamanan,Tinggi
Tangga darurat kurang aman digunakan dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Ada kabel listrik terbuka di koridor,Keamanan,Tinggi
Gerbang samping kampus tidak dijaga,Keamanan,Rendah
Portal kampus sulit diakses karena koneksi lemot dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
Parkiran motor kurang diawasi,Keamanan,Sedang
Saya kehilangan barang di ruang kuliah,Keamanan,Tinggi
"Mohon bantuan, saya tidak bisa mencetak bukti pembayaran ukt",Keuangan,Tinggi
"Internet di gedung B sangat lambat, mohon segera ditindaklanjuti",Jaringan,Tinggi
Gerbang samping kampus tidak dijaga,Keamanan,Rendah
Mahasiswa ingin memperbaiki nama di data akademik,Administrasi,Rendah
"Mohon bantuan, materi kuliah belum tersedia di lms",Akademik,Sedang
Data pembayaran mahasiswa tidak sinkron,Keuangan,Rendah
Jaringan di laboratorium sering terputus,Jaringan,Tinggi
Keluhan saya adalah saya tidak bisa melihat jadwal kuliah di akun saya,Akademik,Tinggi
Helm mahasiswa sering hilang di parkiran dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Keluhan saya adalah sinyal wifi tidak menjangkau ruang kelas lantai tiga,Jaringan,Tinggi
Kursi di ruang kuliah banyak yang rusak,Fasilitas,Sedang
"Mohon bantuan, virtual account pembayaran tidak muncul",Keuangan,Rendah
Status pengajuan surat mahasiswa belum berubah,Administrasi,Sedang
"Mohon bantuan, komputer laboratorium tidak bisa menyala",Fasilitas,Tinggi
Apakah pihak kampus bisa menangani masalah ini: area belakang gedung terlalu gelap,Keamanan,Tinggi
Papan tulis sulit digunakan karena spidol habis,Fasilitas,Sedang
Tolong dicek karena lantai koridor licin setelah hujan,Kebersihan,Tinggi
Speaker ruang seminar rusak dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
"Mohon bantuan, lampu parkiran mati saat malam",Keamanan,Tinggi
"Pembayaran UKT saya belum terverifikasi, mohon segera ditindaklanjuti",Keuangan,Tinggi
"Saya tidak bisa mencetak bukti pembayaran UKT, mohon segera ditindaklanjuti",Keuangan,Tinggi
Area belakang gedung terlalu gelap,Keamanan,Rendah
"Mohon bantuan, saya kehilangan barang di ruang kuliah",Keamanan,Tinggi
Dokumen administrasi belum diverifikasi,Administrasi,Sedang
"Mohon bantuan, saya butuh surat aktif kuliah untuk beasiswa",Administrasi,Rendah
Portal kampus sulit diakses karena koneksi lemot,Jaringan,Sedang
WiFi kampus sering mati saat jam kuliah dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
Kursi di ruang kuliah banyak yang rusak,Fasilitas,Sedang
Kantin kampus terlihat kurang bersih dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
Tolong dicek karena papan tulis sulit digunakan karena spidol habis,Fasilitas,Tinggi
Pintu ruang kelas sulit dikunci,Fasilitas,Sedang
"Mohon bantuan, gerbang samping kampus tidak dijaga",Keamanan,Rendah
Keluhan saya adalah ac ruang 204 tidak dingin,Fasilitas,Tinggi
Informasi dosen pembimbing belum diperbarui dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
Ruang kelas berdebu saat pagi,Kebersihan,Rendah
Internet di gedung B sangat lambat,Jaringan,Sedang
Ruang kelas terlalu panas saat siang,Fasilitas,Sedang
Jadwal ujian bentrok dengan mata kuliah lain dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
Jadwal ujian bentrok dengan mata kuliah lain,Akademik,Tinggi
WiFi kampus tidak stabil saat mengunduh materi dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
"Mohon bantuan, lantai koridor licin setelah hujan",Kebersihan,Rendah
"Mohon bantuan, saya tidak bisa melihat jadwal kuliah di akun saya",Akademik,Tinggi
Saya ingin memperbaiki nama di data akademik dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
Tangga darurat kurang aman digunakan,Keamanan,Sedang
"Mohon bantuan, tempat sampah di koridor sudah penuh",Kebersihan,Sedang
Kantin kampus terlihat kurang bersih,Kebersihan,Sedang
Lantai koridor licin setelah hujan,Kebersihan,Rendah
Saya ingin mengajukan keringanan UKT,Keuangan,Rendah
Tolong dicek karena jaringan di laboratorium sering terputus,Jaringan,Tinggi
Kelas pengganti belum muncul di sistem akademik,Akademik,Sedang
Tolong dicek karena lampu kelas mati sejak minggu lalu,Fasilitas,Tinggi
"Mohon bantuan, pembayaran ukt saya belum terverifikasi",Keuangan,Sedang
Akun WiFi saya tidak bisa digunakan dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
Saya bingung jadwal pengisian KRS semester ini,Akademik,Rendah
Area parkir banyak sampah plastik,Kebersihan,Rendah
Tolong dicek karena data pribadi saya di portal masih salah,Administrasi,Tinggi
Keluhan saya adalah proyektor kelas tidak bisa menyala,Fasilitas,Tinggi
Pintu ruang kelas sulit dikunci,Fasilitas,Sedang
Tolong dicek karena ruang kelas terlalu panas saat siang,Fasilitas,Tinggi
Saya butuh surat aktif kuliah untuk beasiswa dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
Mahasiswa kehilangan barang di ruang kuliah,Keamanan,Tinggi
Mahasiswa ingin mengajukan keringanan UKT,Keuangan,Rendah
Kartu hasil studi tidak bisa diunduh,Akademik,Tinggi
"Mohon bantuan, saya ingin mengurus surat keterangan mahasiswa",Administrasi,Rendah
Akun WiFi mahasiswa tidak bisa digunakan,Jaringan,Tinggi
Saya tidak bisa login ke WiFi kampus dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
AC ruang 204 tidak dingin,Fasilitas,Rendah
Kantin kampus terlihat kurang bersih,Kebersihan,Sedang
Status pengajuan surat saya belum berubah,Administrasi,Sedang
AC ruang 204 tidak dingin,Fasilitas,Rendah
"Mohon bantuan, parkiran motor kurang diawasi",Keamanan,Sedang
"Mohon bantuan, nomor induk mahasiswa saya belum terdaftar di sistem",Administrasi,Sedang
Tagihan UKT masih muncul padahal sudah dibayar,Keuangan,Rendah
CCTV di lorong tidak menyala,Keamanan,Tinggi
"Proses legalisir dokumen akademik terlalu lama, mohon segera ditindaklanjuti",Administrasi,Tinggi
Saya bingung jadwal pengisian KRS semester ini dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
Masalah yang saya alami yaitu ruang praktikum berbau tidak sedap,Kebersihan,Tinggi
Pembayaran UKT saya belum terverifikasi,Keuangan,Sedang
"Mohon bantuan, toilet tidak memiliki sabun cuci tangan",Kebersihan,Rendah
"Mohon bantuan, koneksi internet sering timeout saat ujian online",Jaringan,Tinggi
Data pribadi saya di portal masih salah dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
"Mohon bantuan, lampu kelas mati sejak minggu lalu",Fasilitas,Tinggi
Apakah pihak kampus bisa menangani masalah ini: toilet lantai dua kurang bersih,Kebersihan,Tinggi
"Mohon bantuan, data pribadi saya di portal masih salah",Administrasi,Rendah
Kelas pengganti belum muncul di sistem akademik dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
Saya tidak bisa login ke WiFi kampus,Jaringan,Tinggi
Kamar mandi kampus perlu dibersihkan,Kebersihan,Rendah
Speaker ruang seminar rusak,Fasilitas,Sedang
Pintu ruang kelas sulit dikunci dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
Saya tidak menemukan jadwal konsultasi akademik,Akademik,Rendah
Banyak sampah di area taman kampus,Kebersihan,Rendah
Pembayaran UKT saya belum terverifikasi dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
"Mohon bantuan, status pengajuan surat saya belum berubah",Administrasi,Sedang
Data pribadi saya di portal masih salah,Administrasi,Rendah
Saya ingin bertanya prosedur revisi KRS,Akademik,Rendah
"Mohon bantuan, proses legalisir dokumen akademik terlalu lama",Administrasi,Rendah
Saya melihat orang asing masuk ruang kelas,Keamanan,Rendah
Parkiran motor kurang diawasi,Keamanan,Sedang
"Mohon bantuan, saya tidak tahu alur pengajuan surat izin penelitian",Administrasi,Rendah
Masalah yang saya alami yaitu portal kampus sulit diakses karena koneksi lemot,Jaringan,Tinggi
Ruang kelas terlalu panas saat siang dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
Tempat sampah di koridor sudah penuh,Kebersihan,Sedang
Banyak sampah di area taman kampus,Kebersihan,Rendah
"Mohon bantuan, jaringan di laboratorium sering terputus",Jaringan,Tinggi
Ada kabel listrik terbuka di koridor,Keamanan,Tinggi
"Materi kuliah belum tersedia di LMS, mohon segera ditindaklanjuti",Akademik,Tinggi
"Mohon bantuan, internet di gedung b sangat lambat",Jaringan,Sedang
Mahasiswa tidak tahu alur pengajuan surat izin penelitian,Administrasi,Rendah
Jaringan di laboratorium sering terputus,Jaringan,Tinggi
Bagian administrasi sulit dihubungi dan mengganggu aktivitas mahasiswa,Administrasi,Tinggi
"Mohon bantuan, area parkir banyak sampah plastik",Kebersihan,Rendah
"Mohon bantuan, toilet lantai dua kurang bersih",Kebersihan,Sedang
Mahasiswa melihat orang asing masuk ruang kelas,Keamanan,Rendah
Keluhan saya adalah sistem pembayaran kampus sering gagal,Keuangan,Tinggi
Masalah yang saya alami yaitu wifi kampus sering mati saat jam kuliah,Jaringan,Tinggi
Masalah yang saya alami yaitu saya ingin mengurus surat keterangan mahasiswa,Administrasi,Tinggi
Pembayaran beasiswa belum masuk ke akun saya,Keuangan,Sedang
Saya tidak menemukan jadwal konsultasi akademik dan mengganggu aktivitas mahasiswa,Akademik,Tinggi
Sinyal WiFi tidak menjangkau ruang kelas lantai tiga dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
Tempat sampah di koridor sudah penuh dan mengganggu aktivitas mahasiswa,Kebersihan,Tinggi
AC ruang 204 tidak dingin dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
Informasi dosen pembimbing belum diperbarui,Akademik,Sedang
Saya ingin konfirmasi pembayaran kuliah dan mengganggu aktivitas mahasiswa,Keuangan,Tinggi
Materi kuliah belum tersedia di LMS,Akademik,Sedang
"Mohon bantuan, proyektor kelas tidak bisa menyala",Fasilitas,Tinggi
Data pembayaran saya tidak sinkron,Keuangan,Rendah
Keluhan saya adalah jadwal ujian bentrok dengan mata kuliah lain,Akademik,Tinggi
"Mohon bantuan, sinyal wifi tidak menjangkau ruang kelas lantai tiga",Jaringan,Rendah
"Helm mahasiswa sering hilang di parkiran, mohon segera ditindaklanjuti",Keamanan,Tinggi
Kamar mandi kampus perlu dibersihkan,Kebersihan,Rendah
Masalah yang saya alami yaitu banyak sampah di area taman kampus,Kebersihan,Tinggi
Internet di gedung B sangat lambat dan mengganggu aktivitas mahasiswa,Jaringan,Tinggi
Ada kabel listrik terbuka di koridor dan mengganggu aktivitas mahasiswa,Keamanan,Tinggi
Mahasiswa tidak bisa mencetak bukti pembayaran UKT,Keuangan,Tinggi
Apakah pihak kampus bisa menangani masalah ini: koneksi internet sering timeout saat ujian online,Jaringan,Tinggi
Kartu hasil studi tidak bisa diunduh,Akademik,Tinggi
Sinyal WiFi tidak menjangkau ruang kelas lantai tiga,Jaringan,Rendah
Mahasiswa butuh informasi batas pembayaran UKT,Keuangan,Rendah
Komputer laboratorium tidak bisa menyala dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
Stop kontak di kelas tidak berfungsi dan mengganggu aktivitas mahasiswa,Fasilitas,Tinggi
Pembayaran UKT mahasiswa belum terverifikasi,Keuangan,Sedang
"Mohon bantuan, ruang kelas terlalu panas saat siang",Fasilitas,Sedang
"Toilet tidak memiliki sabun cuci tangan, mohon segera ditindaklanjuti",Kebersihan,Tinggi
Area parkir banyak sampah plastik,Kebersihan,Rendah
"Mohon bantuan, portal kampus sulit diakses karena koneksi lemot",Jaringan,Sedang
"Mohon bantuan, speaker ruang seminar rusak",Fasilitas,Sedang
Mahasiswa ingin mengurus surat keterangan mahasiswa,Administrasi,Rendah
Mahasiswa ingin konfirmasi pembayaran kuliah,Keuangan,Rendah
Saya butuh surat aktif kuliah untuk beasiswa,Administrasi,Rendah
Koneksi internet sering timeout saat ujian online,Jaringan,Tinggi
Saya ingin konfirmasi pembayaran kuliah,Keuangan,Rendah
Jadwal ujian bentrok dengan mata kuliah lain,Akademik,Tinggi
